"Gene_ID"	"Start"	"End"	"length"	"Gene_type"
"ENSG00000003249"	90004865	90020128	15263	"protein_coding"
"ENSG00000003393"	201700554	201781189	80635	"protein_coding"
"ENSG00000003400"	201182881	201229406	46525	"protein_coding"
"ENSG00000003402"	201116104	201176687	60583	"protein_coding"
"ENSG00000003436"	187464230	187565760	101530	"protein_coding"
"ENSG00000003509"	37231631	37253403	21772	"protein_coding"
"ENSG00000003756"	50088908	50119021	30113	"protein_coding"
"ENSG00000003987"	17298030	17413528	115498	"protein_coding"
"ENSG00000003989"	17497088	17570573	73485	"protein_coding"
"ENSG00000004059"	127588345	127591705	3360	"protein_coding"
"ENSG00000004139"	28364356	28404049	39693	"protein_coding"
"ENSG00000004142"	28347177	28357522	10345	"protein_coding"
"ENSG00000004399"	129555175	129606818	51643	"protein_coding"
"ENSG00000004455"	33007940	33080996	73056	"protein_coding"
"ENSG00000004468"	15778275	15853230	74955	"protein_coding"
"ENSG00000004478"	2794953	2805423	10470	"protein_coding"
"ENSG00000004487"	23019443	23083689	64246	"protein_coding"
"ENSG00000004534"	49940007	50100045	160038	"protein_coding"
"ENSG00000004660"	3860315	3894891	34576	"protein_coding"
"ENSG00000004700"	21468911	21501669	32758	"protein_coding"
"ENSG00000004766"	93232340	93361121	128781	"protein_coding"
"ENSG00000004776"	35754569	35758079	3510	"protein_coding"
"ENSG00000004777"	35774532	35788822	14290	"protein_coding"
"ENSG00000004779"	23581002	23596356	15354	"protein_coding"
"ENSG00000004799"	95583499	95596491	12992	"protein_coding"
"ENSG00000004809"	110424687	110476641	51954	"protein_coding"
"ENSG00000004838"	50341110	50346852	5742	"protein_coding"
"ENSG00000004846"	20615207	20777038	161831	"protein_coding"
"ENSG00000004848"	25003694	25016420	12726	"protein_coding"
"ENSG00000004864"	96120220	96322147	201927	"protein_coding"
"ENSG00000004866"	116953238	117230103	276865	"protein_coding"
"ENSG00000004897"	47117703	47189422	71719	"protein_coding"
"ENSG00000004939"	44248385	44268141	19756	"protein_coding"
"ENSG00000004948"	93424487	93574730	150243	"protein_coding"
"ENSG00000004961"	11111301	11123078	11777	"protein_coding"
"ENSG00000004975"	7225341	7234545	9204	"protein_coding"
"ENSG00000005001"	2852727	2858170	5443	"protein_coding"
"ENSG00000005007"	18831938	18868236	36298	"protein_coding"
"ENSG00000005020"	26667062	26995239	328177	"protein_coding"
"ENSG00000005022"	119468400	119471319	2919	"protein_coding"
"ENSG00000005059"	109560205	109688726	128521	"protein_coding"
"ENSG00000005073"	27181510	27185223	3713	"protein_coding"
"ENSG00000005075"	102473118	102478907	5789	"protein_coding"
"ENSG00000005100"	5440912	5469060	28148	"protein_coding"
"ENSG00000005102"	43640388	43661954	21566	"protein_coding"
"ENSG00000005108"	11370357	11832198	461841	"protein_coding"
"ENSG00000005156"	34980494	35009743	29249	"protein_coding"
"ENSG00000005175"	47661249	47706061	44812	"protein_coding"
"ENSG00000005187"	20610243	20797581	187338	"protein_coding"
"ENSG00000005189"	20806429	20849668	43239	"protein_coding"
"ENSG00000005194"	57428169	57447528	19359	"protein_coding"
"ENSG00000005206"	2328615	2354806	26191	"protein_coding"
"ENSG00000005238"	35104112	35116341	12229	"protein_coding"
"ENSG00000005243"	48026167	48038030	11863	"protein_coding"
"ENSG00000005249"	107044649	107161811	117162	"protein_coding"
"ENSG00000005302"	11758159	11775772	17613	"protein_coding"
"ENSG00000005339"	3725054	3880726	155672	"protein_coding"
"ENSG00000005379"	58301228	58328760	27532	"protein_coding"
"ENSG00000005381"	58269856	58280935	11079	"protein_coding"
"ENSG00000005421"	95297676	95324707	27031	"protein_coding"
"ENSG00000005436"	75652000	75710989	58989	"protein_coding"
"ENSG00000005448"	74421678	74425755	4077	"protein_coding"
"ENSG00000005469"	87345681	87399795	54114	"protein_coding"
"ENSG00000005471"	87401697	87480435	78738	"protein_coding"
"ENSG00000005483"	105014179	105114361	100182	"protein_coding"
"ENSG00000005486"	75842602	75888926	46324	"protein_coding"
"ENSG00000005513"	981808	986979	5171	"protein_coding"
"ENSG00000005700"	82169983	82247754	77771	"protein_coding"
"ENSG00000005801"	3339261	3379222	39961	"protein_coding"
"ENSG00000005810"	77044655	77327050	282395	"protein_coding"
"ENSG00000005812"	76992598	77027195	34597	"protein_coding"
"ENSG00000005844"	30472658	30523185	50527	"protein_coding"
"ENSG00000005882"	50094737	50112152	17415	"protein_coding"
"ENSG00000005884"	50055968	50090481	34513	"protein_coding"
"ENSG00000005889"	24149173	24216255	67082	"protein_coding"
"ENSG00000005893"	120427827	120469365	41538	"protein_coding"
"ENSG00000005961"	44372180	44389505	17325	"protein_coding"
"ENSG00000005981"	95478444	95540232	61788	"protein_coding"
"ENSG00000006007"	19501689	19522145	20456	"protein_coding"
"ENSG00000006015"	18588685	18592336	3651	"protein_coding"
"ENSG00000006016"	18572220	18607741	35521	"protein_coding"
"ENSG00000006025"	47807372	47821834	14462	"protein_coding"
"ENSG00000006042"	32927910	32945106	17196	"protein_coding"
"ENSG00000006047"	7288252	7294615	6363	"protein_coding"
"ENSG00000006059"	41346092	41350812	4720	"protein_coding"
"ENSG00000006062"	45263119	45317145	54026	"protein_coding"
"ENSG00000006071"	17392498	17476879	84381	"protein_coding"
"ENSG00000006116"	24255553	24362801	107248	"protein_coding"
"ENSG00000006118"	60924463	60937159	12696	"protein_coding"
"ENSG00000006125"	35578046	35726409	148363	"protein_coding"
"ENSG00000006128"	97731908	97740472	8564	"protein_coding"
"ENSG00000006194"	3263800	3301401	37601	"protein_coding"
"ENSG00000006210"	57372458	57385048	12590	"protein_coding"
"ENSG00000006282"	50543058	50555852	12794	"protein_coding"
"ENSG00000006283"	50561068	50627474	66406	"protein_coding"
"ENSG00000006327"	3018445	3022383	3938	"protein_coding"
"ENSG00000006377"	97005548	97011039	5491	"protein_coding"
"ENSG00000006432"	70722526	70809534	87008	"protein_coding"
"ENSG00000006451"	39623483	39708124	84641	"protein_coding"
"ENSG00000006453"	98291651	98401068	109417	"protein_coding"
"ENSG00000006459"	140084746	140177035	92289	"protein_coding"
"ENSG00000006468"	13891228	13991425	100197	"protein_coding"
"ENSG00000006530"	141551189	141655244	104055	"protein_coding"
"ENSG00000006534"	68008578	68029282	20704	"protein_coding"
"ENSG00000006555"	54779712	54801267	21555	"protein_coding"
"ENSG00000006576"	77798792	77957503	158711	"protein_coding"
"ENSG00000006606"	75769533	75789896	20363	"protein_coding"
"ENSG00000006607"	241356243	241494841	138598	"protein_coding"
"ENSG00000006611"	17493895	17544416	50521	"protein_coding"
"ENSG00000006625"	30496621	30504844	8223	"protein_coding"
"ENSG00000006634"	87876216	87909541	33325	"protein_coding"
"ENSG00000006638"	3594506	3606840	12334	"protein_coding"
"ENSG00000006652"	112422968	112481017	58049	"protein_coding"
"ENSG00000006659"	39704306	39709444	5138	"protein_coding"
"ENSG00000006695"	14069496	14208677	139181	"protein_coding"
"ENSG00000006704"	74453790	74602604	148814	"protein_coding"
"ENSG00000006712"	39385852	39391195	5343	"protein_coding"
"ENSG00000006715"	38722963	38932394	209431	"protein_coding"
"ENSG00000006740"	12789539	12991643	202104	"protein_coding"
"ENSG00000006744"	12992391	13018187	25796	"protein_coding"
"ENSG00000006747"	12570577	12660179	89602	"protein_coding"
"ENSG00000006756"	2903970	2929351	25381	"protein_coding"
"ENSG00000006757"	7898247	7927739	29492	"protein_coding"
"ENSG00000006788"	10300865	10373130	72265	"protein_coding"
"ENSG00000006831"	1688574	1788678	100104	"protein_coding"
"ENSG00000006837"	134286350	134371047	84697	"protein_coding"
"ENSG00000007001"	157876702	158136154	259452	"protein_coding"
"ENSG00000007038"	2817180	2826304	9124	"protein_coding"
"ENSG00000007047"	45079288	45305283	225995	"protein_coding"
"ENSG00000007062"	15963076	16084378	121302	"protein_coding"
"ENSG00000007080"	17933016	17943991	10975	"protein_coding"
"ENSG00000007129"	41549518	41586844	37326	"protein_coding"
"ENSG00000007168"	2593210	2685615	92405	"protein_coding"
"ENSG00000007171"	27756766	27800499	43733	"protein_coding"
"ENSG00000007174"	11598431	11969748	371317	"protein_coding"
"ENSG00000007202"	28614440	28645454	31014	"protein_coding"
"ENSG00000007216"	28473293	28497781	24488	"protein_coding"
"ENSG00000007237"	9910609	10198551	287942	"protein_coding"
"ENSG00000007255"	45162928	45178237	15309	"protein_coding"
"ENSG00000007264"	3777970	3802129	24159	"protein_coding"
"ENSG00000007306"	41673307	41706976	33669	"protein_coding"
"ENSG00000007312"	63928740	63932354	3614	"protein_coding"
"ENSG00000007314"	63938554	63972918	34364	"protein_coding"
"ENSG00000007341"	112523518	112620825	97307	"protein_coding"
"ENSG00000007350"	154295671	154330350	34679	"protein_coding"
"ENSG00000007372"	31784779	31818062	33283	"protein_coding"
"ENSG00000007376"	784974	788397	3423	"protein_coding"
"ENSG00000007384"	58059	76355	18296	"protein_coding"
"ENSG00000007392"	188969	229463	40494	"protein_coding"
"ENSG00000007402"	50362799	50504244	141445	"protein_coding"
"ENSG00000007516"	1333601	1349441	15840	"protein_coding"
"ENSG00000007520"	1349240	1351911	2671	"protein_coding"
"ENSG00000007541"	566995	584136	17141	"protein_coding"
"ENSG00000007545"	1612325	1677908	65583	"protein_coding"
"ENSG00000007866"	35473597	35497076	23479	"protein_coding"
"ENSG00000007908"	169722641	169764705	42064	"protein_coding"
"ENSG00000007923"	6634168	6701924	67756	"protein_coding"
"ENSG00000007933"	171090877	171117819	26942	"protein_coding"
"ENSG00000007944"	16129125	16148248	19123	"protein_coding"
"ENSG00000007952"	100843324	100874345	31021	"protein_coding"
"ENSG00000007968"	23506430	23531220	24790	"protein_coding"
"ENSG00000008018"	170535117	170553341	18224	"protein_coding"
"ENSG00000008056"	47571898	47619943	48045	"protein_coding"
"ENSG00000008083"	15246296	15522040	275744	"protein_coding"
"ENSG00000008086"	18425583	18653629	228046	"protein_coding"
"ENSG00000008118"	209583717	209613938	30221	"protein_coding"
"ENSG00000008128"	1702730	1724324	21594	"protein_coding"
"ENSG00000008130"	1751232	1780457	29225	"protein_coding"
"ENSG00000008196"	50818723	50847613	28890	"protein_coding"
"ENSG00000008197"	50713828	50772988	59160	"protein_coding"
"ENSG00000008226"	38039205	38124025	84820	"protein_coding"
"ENSG00000008256"	6161776	6272644	110868	"protein_coding"
"ENSG00000008277"	87934143	88202889	268746	"protein_coding"
"ENSG00000008282"	106090503	106112576	22073	"protein_coding"
"ENSG00000008283"	63432304	63446378	14074	"protein_coding"
"ENSG00000008294"	50962174	51120865	158691	"protein_coding"
"ENSG00000008300"	48636469	48662915	26446	"protein_coding"
"ENSG00000008311"	122075647	122144280	68633	"protein_coding"
"ENSG00000008323"	6310436	6328506	18070	"protein_coding"
"ENSG00000008324"	42581840	42595114	13274	"protein_coding"
"ENSG00000008382"	4343527	4360086	16559	"protein_coding"
"ENSG00000008394"	16347142	16609259	262117	"protein_coding"
"ENSG00000008405"	106991364	107093829	102465	"protein_coding"
"ENSG00000008438"	46019153	46023065	3912	"protein_coding"
"ENSG00000008441"	12995608	13098796	103188	"protein_coding"
"ENSG00000008513"	133454848	133571940	117092	"protein_coding"
"ENSG00000008516"	3046681	3060726	14045	"protein_coding"
"ENSG00000008517"	3065297	3082192	16895	"protein_coding"
"ENSG00000008710"	2088710	2135898	47188	"protein_coding"
"ENSG00000008735"	50600685	50613981	13296	"protein_coding"
"ENSG00000008838"	40019097	40061215	42118	"protein_coding"
"ENSG00000008853"	22987417	23020199	32782	"protein_coding"
"ENSG00000008869"	36968383	37084342	115959	"protein_coding"
"ENSG00000008952"	169966635	169998373	31738	"protein_coding"
"ENSG00000008988"	56067295	56074581	7286	"protein_coding"
"ENSG00000009307"	114716913	114758676	41763	"protein_coding"
"ENSG00000009335"	157138913	157269372	130459	"protein_coding"
"ENSG00000009413"	111299028	111483715	184687	"protein_coding"
"ENSG00000009694"	124375903	124963817	587914	"protein_coding"
"ENSG00000009709"	18631006	18748866	117860	"protein_coding"
"ENSG00000009724"	11026523	11047233	20710	"protein_coding"
"ENSG00000009765"	150368892	150405969	37077	"protein_coding"
"ENSG00000009780"	27725979	27763122	37143	"protein_coding"
"ENSG00000009790"	209756032	209782320	26288	"protein_coding"
"ENSG00000009830"	77274956	77320884	45928	"protein_coding"
"ENSG00000009844"	142147162	142224689	77527	"protein_coding"
"ENSG00000009950"	73593194	73624543	31349	"protein_coding"
"ENSG00000009954"	73440398	73522278	81880	"protein_coding"
"ENSG00000010017"	13621498	13711564	90066	"protein_coding"
"ENSG00000010030"	36354091	36387800	33709	"protein_coding"
"ENSG00000010072"	231337104	231355023	17919	"protein_coding"
"ENSG00000010165"	171781664	171814023	32359	"protein_coding"
"ENSG00000010219"	4562204	4615302	53098	"protein_coding"
"ENSG00000010244"	32350117	32381886	31769	"protein_coding"
"ENSG00000010256"	48599002	48610976	11974	"protein_coding"
"ENSG00000010270"	38178222	38230671	52449	"protein_coding"
"ENSG00000010278"	6199715	6238271	38556	"protein_coding"
"ENSG00000010282"	42692663	42702827	10164	"protein_coding"
"ENSG00000010292"	6493356	6531955	38599	"protein_coding"
"ENSG00000010295"	6538375	6556083	17708	"protein_coding"
"ENSG00000010310"	45668244	45683724	15480	"protein_coding"
"ENSG00000010318"	52410657	52423641	12984	"protein_coding"
"ENSG00000010319"	52433053	52445085	12032	"protein_coding"
"ENSG00000010322"	52455118	52493071	37953	"protein_coding"
"ENSG00000010327"	52495338	52524495	29157	"protein_coding"
"ENSG00000010361"	49806869	49817376	10507	"protein_coding"
"ENSG00000010379"	220621	262873	42252	"protein_coding"
"ENSG00000010404"	149476990	149521096	44106	"protein_coding"
"ENSG00000010438"	33750466	33799231	48765	"protein_coding"
"ENSG00000010539"	3222325	3236221	13896	"protein_coding"
"ENSG00000010610"	6786858	6820808	33950	"protein_coding"
"ENSG00000010626"	6873569	6914243	40674	"protein_coding"
"ENSG00000010671"	101349447	101390796	41349	"protein_coding"
"ENSG00000010704"	26087281	26098343	11062	"protein_coding"
"ENSG00000010803"	41027200	41242154	214954	"protein_coding"
"ENSG00000010810"	111660332	111873452	213120	"protein_coding"
"ENSG00000010818"	142751467	142956698	205231	"protein_coding"
"ENSG00000010932"	171248471	171285978	37507	"protein_coding"
"ENSG00000011007"	23743155	23762059	18904	"protein_coding"
"ENSG00000011009"	23790970	23795539	4569	"protein_coding"
"ENSG00000011021"	11806096	11848079	41983	"protein_coding"
"ENSG00000011028"	62627401	62693597	66196	"protein_coding"
"ENSG00000011052"	51153590	51171744	18154	"protein_coding"
"ENSG00000011083"	150189957	150222788	32831	"protein_coding"
"ENSG00000011105"	3077355	3286564	209209	"protein_coding"
"ENSG00000011114"	93237550	93333092	95542	"protein_coding"
"ENSG00000011132"	3750819	3761699	10880	"protein_coding"
"ENSG00000011143"	58205437	58219605	14168	"protein_coding"
"ENSG00000011198"	43690108	43734371	44263	"protein_coding"
"ENSG00000011201"	8528874	8732186	203312	"protein_coding"
"ENSG00000011243"	15380048	15419141	39093	"protein_coding"
"ENSG00000011258"	51177425	51260163	82738	"protein_coding"
"ENSG00000011260"	51260528	51297936	37408	"protein_coding"
"ENSG00000011275"	5620047	5781739	161692	"protein_coding"
"ENSG00000011295"	15999380	16045015	45635	"protein_coding"
"ENSG00000011304"	797075	812327	15252	"protein_coding"
"ENSG00000011332"	38211006	38229714	18708	"protein_coding"
"ENSG00000011347"	61515313	61581148	65835	"protein_coding"
"ENSG00000011376"	45388506	45549421	160915	"protein_coding"
"ENSG00000011405"	17077730	17207983	130253	"protein_coding"
"ENSG00000011422"	43646095	43670547	24452	"protein_coding"
"ENSG00000011426"	36389806	36453791	63985	"protein_coding"
"ENSG00000011451"	15419980	15449951	29971	"protein_coding"
"ENSG00000011454"	122940833	123104866	164033	"protein_coding"
"ENSG00000011465"	91140484	91183123	42639	"protein_coding"
"ENSG00000011478"	45692483	45703989	11506	"protein_coding"
"ENSG00000011485"	46346994	46392981	45987	"protein_coding"
"ENSG00000011523"	65056366	65087004	30638	"protein_coding"
"ENSG00000011566"	39249266	39437312	188046	"protein_coding"
"ENSG00000011590"	35704527	35717038	12511	"protein_coding"
"ENSG00000011600"	35904401	35908295	3894	"protein_coding"
"ENSG00000011638"	21158377	21180616	22239	"protein_coding"
"ENSG00000011677"	152166234	152451358	285124	"protein_coding"
"ENSG00000012048"	43044295	43170245	125950	"protein_coding"
"ENSG00000012061"	45407333	45478828	71495	"protein_coding"
"ENSG00000012124"	35319261	35347355	28094	"protein_coding"
"ENSG00000012171"	50267558	50277546	9988	"protein_coding"
"ENSG00000012174"	21839636	21885424	45788	"protein_coding"
"ENSG00000012211"	49175264	49186528	11264	"protein_coding"
"ENSG00000012223"	46435645	46485234	49589	"protein_coding"
"ENSG00000012232"	28600469	28755599	155130	"protein_coding"
"ENSG00000012504"	100473708	100564413	90705	"protein_coding"
"ENSG00000012660"	53267398	53349179	81781	"protein_coding"
"ENSG00000012779"	45374176	45446119	71943	"protein_coding"
"ENSG00000012817"	19703865	19744939	41074	"protein_coding"
"ENSG00000012822"	53708517	53727745	19228	"protein_coding"
"ENSG00000012963"	93207056	93229215	22159	"protein_coding"
"ENSG00000012983"	50418501	50561126	142625	"protein_coding"
"ENSG00000013016"	31234337	31269447	35110	"protein_coding"
"ENSG00000013275"	39971005	39981441	10436	"protein_coding"
"ENSG00000013288"	6575175	6623362	48187	"protein_coding"
"ENSG00000013293"	170459584	170586074	126490	"protein_coding"
"ENSG00000013297"	170418865	170454733	35868	"protein_coding"
"ENSG00000013306"	44319625	44324870	5245	"protein_coding"
"ENSG00000013364"	29820394	29848039	27645	"protein_coding"
"ENSG00000013374"	151341699	151378449	36750	"protein_coding"
"ENSG00000013375"	83161150	83193936	32786	"protein_coding"
"ENSG00000013392"	83193379	83198932	5553	"protein_coding"
"ENSG00000013441"	200853009	200864744	11735	"protein_coding"
"ENSG00000013503"	106357658	106510198	152540	"protein_coding"
"ENSG00000013523"	76786178	76826246	40068	"protein_coding"
"ENSG00000013561"	141958328	141990291	31963	"protein_coding"
"ENSG00000013563"	154401238	154412112	10874	"protein_coding"
"ENSG00000013573"	31073845	31104791	30946	"protein_coding"
"ENSG00000013583"	12974864	13000273	25409	"protein_coding"
"ENSG00000013588"	12890782	12917937	27155	"protein_coding"
"ENSG00000013619"	150361422	150514178	152756	"protein_coding"
"ENSG00000013725"	60971680	61020377	48697	"protein_coding"
"ENSG00000013810"	1721490	1745176	23686	"protein_coding"
"ENSG00000014123"	96521595	96555276	33681	"protein_coding"
"ENSG00000014138"	65261762	65305589	43827	"protein_coding"
"ENSG00000014164"	143437655	143541453	103798	"protein_coding"
"ENSG00000014216"	65180566	65212006	31440	"protein_coding"
"ENSG00000014257"	132317367	132368298	50931	"protein_coding"
"ENSG00000014641"	63588609	63607197	18588	"protein_coding"
"ENSG00000014824"	41990472	42090457	99985	"protein_coding"
"ENSG00000014914"	149928651	149936869	8218	"protein_coding"
"ENSG00000014919"	99711844	99732100	20256	"protein_coding"
"ENSG00000015133"	91271323	91417844	146521	"protein_coding"
"ENSG00000015153"	42157104	42238349	81245	"protein_coding"
"ENSG00000015171"	134465	254637	120172	"protein_coding"
"ENSG00000015285"	48676596	48691427	14831	"protein_coding"
"ENSG00000015413"	89613308	89638456	25148	"protein_coding"
"ENSG00000015475"	17734138	17774770	40632	"protein_coding"
"ENSG00000015479"	139293648	139331677	38029	"protein_coding"
"ENSG00000015520"	44512535	44541315	28780	"protein_coding"
"ENSG00000015532"	50346092	50363138	17046	"protein_coding"
"ENSG00000015568"	109792758	109857695	64937	"protein_coding"
"ENSG00000015592"	27235323	27258420	23097	"protein_coding"
"ENSG00000015676"	44379121	44490880	111759	"protein_coding"
"ENSG00000016082"	51383391	51394738	11347	"protein_coding"
"ENSG00000016391"	53812335	53846390	34055	"protein_coding"
"ENSG00000016402"	136999971	137045180	45209	"protein_coding"
"ENSG00000016490"	86468368	86500289	31921	"protein_coding"
"ENSG00000016602"	86547078	86580754	33676	"protein_coding"
"ENSG00000016864"	52694488	52706032	11544	"protein_coding"
"ENSG00000017260"	130850595	131016712	166117	"protein_coding"
"ENSG00000017427"	102395874	102481744	85870	"protein_coding"
"ENSG00000017483"	48458537	48470256	11719	"protein_coding"
"ENSG00000017797"	9475009	9538116	63107	"protein_coding"
"ENSG00000018189"	70704204	70807315	103111	"protein_coding"
"ENSG00000018236"	40692442	41072418	379976	"protein_coding"
"ENSG00000018280"	218382029	218396894	14865	"protein_coding"
"ENSG00000018408"	149517235	149736714	219479	"protein_coding"
"ENSG00000018510"	177392644	177559299	166655	"protein_coding"
"ENSG00000018610"	119538149	119565408	27259	"protein_coding"
"ENSG00000018625"	160115759	160143591	27832	"protein_coding"
"ENSG00000018699"	32628032	32821051	193019	"protein_coding"
"ENSG00000018869"	56375846	56393545	17699	"protein_coding"
"ENSG00000019102"	124747472	124752238	4766	"protein_coding"
"ENSG00000019144"	118606440	118658038	51598	"protein_coding"
"ENSG00000019169"	118942166	118994660	52494	"protein_coding"
"ENSG00000019186"	54153449	54173973	20524	"protein_coding"
"ENSG00000019485"	45095806	45235110	139304	"protein_coding"
"ENSG00000019505"	45240301	45286319	46018	"protein_coding"
"ENSG00000019549"	48917604	48921740	4136	"protein_coding"
"ENSG00000019582"	150401637	150412929	11292	"protein_coding"
"ENSG00000019991"	81699008	81770438	71430	"protein_coding"
"ENSG00000019995"	124942123	124988189	46066	"protein_coding"
"ENSG00000020129"	35557473	35567274	9801	"protein_coding"
"ENSG00000020181"	37784191	37844896	60705	"protein_coding"
"ENSG00000020256"	52051663	52204308	152645	"protein_coding"
"ENSG00000020426"	60734742	60969953	235211	"protein_coding"
"ENSG00000020577"	54567097	54793315	226218	"protein_coding"
"ENSG00000020633"	24899511	24965121	65610	"protein_coding"
"ENSG00000020922"	94415578	94493908	78330	"protein_coding"
"ENSG00000021300"	73646178	73662819	16641	"protein_coding"
"ENSG00000021355"	2832332	2842006	9674	"protein_coding"
"ENSG00000021461"	99828013	99866102	38089	"protein_coding"
"ENSG00000021488"	32830509	32869766	39257	"protein_coding"
"ENSG00000021574"	32063547	32157637	94090	"protein_coding"
"ENSG00000021645"	78170373	79868290	1697917	"protein_coding"
"ENSG00000021762"	3087116	3166739	79623	"protein_coding"
"ENSG00000021776"	34851782	34969839	118057	"protein_coding"
"ENSG00000021826"	210477682	210679107	201425	"protein_coding"
"ENSG00000021852"	56929210	56966140	36930	"protein_coding"
"ENSG00000022267"	136146702	136211359	64657	"protein_coding"
"ENSG00000022277"	56468585	56519449	50864	"protein_coding"
"ENSG00000022355"	161847063	161899981	52918	"protein_coding"
"ENSG00000022556"	54953130	55001142	48012	"protein_coding"
"ENSG00000022567"	141207166	141308305	101139	"protein_coding"
"ENSG00000022840"	120533480	120577594	44114	"protein_coding"
"ENSG00000022976"	102317377	102342702	25325	"protein_coding"
"ENSG00000023041"	112424428	112446917	22489	"protein_coding"
"ENSG00000023171"	123358428	123627774	269346	"protein_coding"
"ENSG00000023191"	494512	507300	12788	"protein_coding"
"ENSG00000023228"	206114817	206159603	44786	"protein_coding"
"ENSG00000023287"	52622456	52745843	123387	"protein_coding"
"ENSG00000023318"	99979179	100099040	119861	"protein_coding"
"ENSG00000023330"	52198086	52214327	16241	"protein_coding"
"ENSG00000023445"	102317450	102339403	21953	"protein_coding"
"ENSG00000023516"	42272153	42323267	51114	"protein_coding"
"ENSG00000023572"	193090866	193106114	15248	"protein_coding"
"ENSG00000023608"	61762357	61796428	34071	"protein_coding"
"ENSG00000023697"	15911172	16037282	126110	"protein_coding"
"ENSG00000023734"	15882391	15903478	21087	"protein_coding"
"ENSG00000023839"	99782640	99852594	69954	"protein_coding"
"ENSG00000023892"	35297852	35321771	23919	"protein_coding"
"ENSG00000023902"	150149183	150164720	15537	"protein_coding"
"ENSG00000023909"	93885205	93909456	24251	"protein_coding"
"ENSG00000024048"	42564062	42693504	129442	"protein_coding"
"ENSG00000024422"	47713343	47743134	29791	"protein_coding"
"ENSG00000024526"	68474152	68497221	23069	"protein_coding"
"ENSG00000024862"	138773509	138793319	19810	"protein_coding"
"ENSG00000025039"	89364636	89412270	47634	"protein_coding"
"ENSG00000025156"	122399546	122433119	33573	"protein_coding"
"ENSG00000025293"	35771974	35950381	178407	"protein_coding"
"ENSG00000025423"	56752161	56787790	35629	"protein_coding"
"ENSG00000025434"	47248300	47269032	20732	"protein_coding"
"ENSG00000025708"	50525752	50530056	4304	"protein_coding"
"ENSG00000025770"	50508216	50523472	15256	"protein_coding"
"ENSG00000025772"	44942130	44960486	18356	"protein_coding"
"ENSG00000025796"	107867756	107958189	90433	"protein_coding"
"ENSG00000025800"	32108038	32176568	68530	"protein_coding"
"ENSG00000026025"	17228259	17237593	9334	"protein_coding"
"ENSG00000026036"	63659300	63698684	39384	"protein_coding"
"ENSG00000026103"	88990582	89015785	25203	"protein_coding"
"ENSG00000026297"	166929504	166957191	27687	"protein_coding"
"ENSG00000026508"	35138870	35232402	93532	"protein_coding"
"ENSG00000026559"	51003656	51023129	19473	"protein_coding"
"ENSG00000026652"	161129979	161274061	144082	"protein_coding"
"ENSG00000026751"	160739057	160754821	15764	"protein_coding"
"ENSG00000026950"	26402237	26415216	12979	"protein_coding"
"ENSG00000027001"	23730189	23889419	159230	"protein_coding"
"ENSG00000027075"	61187559	61550976	363417	"protein_coding"
"ENSG00000027644"	156840063	156859018	18955	"protein_coding"
"ENSG00000027697"	137197484	137219449	21965	"protein_coding"
"ENSG00000027847"	177600100	177610347	10247	"protein_coding"
"ENSG00000027869"	156806243	156816862	10619	"protein_coding"
"ENSG00000028116"	57907629	58159920	252291	"protein_coding"
