Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6
ENSG00000167633,0,0,0,0,0,0
ENSG00000167634,0,0,0,0,0,1
ENSG00000167635,3026,3290,3049,5127,4828,5666
ENSG00000167637,426,477,375,493,483,449
ENSG00000167641,0,0,1,0,2,1
ENSG00000167642,9,2,5,7,5,7
ENSG00000167644,26,22,26,15,11,33
ENSG00000167645,4005,3762,3990,3674,3332,5913
ENSG00000167646,154,205,186,90,64,117
ENSG00000167653,21,13,26,121,100,299
ENSG00000167654,10,13,15,12,24,28
ENSG00000167656,0,0,1,2,0,0
ENSG00000167657,4915,4485,3843,2736,2432,4829
ENSG00000167658,97712,92433,89888,100270,90023,157479
ENSG00000167664,0,0,0,0,0,0
ENSG00000167670,444,298,737,2927,2720,4066
ENSG00000167671,6824,6377,6467,4651,4170,7160
ENSG00000167674,2755,2789,2676,2169,1828,2285
ENSG00000167676,51,38,49,39,44,58
ENSG00000167680,12340,8763,13258,11230,8936,13468
ENSG00000167685,1717,1524,1404,1320,1101,2152
ENSG00000167693,2043,1705,2176,2208,1837,2132
ENSG00000167695,945,781,1077,1643,1537,2647
ENSG00000167699,1514,1480,1539,2192,2128,3197
ENSG00000167700,1638,1662,1577,1593,1329,1757
ENSG00000167701,181,186,180,241,192,320
ENSG00000167702,5284,4715,6022,4280,3460,6852
ENSG00000167703,164,194,157,337,250,416
ENSG00000167705,55,57,101,84,76,132
ENSG00000167711,111,122,138,88,88,140
ENSG00000167716,3811,3556,3445,3161,2963,6264
ENSG00000167720,99,91,109,95,91,159
ENSG00000167721,2245,2244,1939,3881,3579,5090
ENSG00000167723,3,4,11,3,4,15
ENSG00000167733,831,770,889,307,262,349
ENSG00000167740,246,209,203,274,237,306
ENSG00000167741,0,0,0,2,0,0
ENSG00000167747,421,393,604,3729,3518,5800
ENSG00000167748,24,16,26,59,52,54
ENSG00000167749,15,11,19,20,13,25
ENSG00000167751,12,17,20,57,42,84
ENSG00000167754,0,4,3,1,1,1
ENSG00000167755,1251,1087,1185,412,345,609
ENSG00000167757,1,0,1,0,2,2
ENSG00000167759,5,6,5,14,9,13
ENSG00000167766,802,961,696,919,903,1496
ENSG00000167767,12637,14051,11613,9020,8002,6390
ENSG00000167768,0,0,0,0,1,0
ENSG00000167769,2,0,0,0,0,0
ENSG00000167770,5468,4926,5194,5289,4896,7718
ENSG00000167771,130,134,156,155,152,128
ENSG00000167772,2,2,3,7,7,6
ENSG00000167774,2,1,2,0,1,1
ENSG00000167775,1880,1840,1879,2527,2099,4330
ENSG00000167778,1613,1502,1611,2166,2087,3329
ENSG00000167779,592,609,767,576,522,707
ENSG00000167780,0,0,0,2,1,0
ENSG00000167785,507,543,531,459,440,518
ENSG00000167791,0,0,0,0,0,0
ENSG00000167792,3906,3872,3909,6500,5789,9011
ENSG00000167797,1533,1359,1463,1599,1437,1934
ENSG00000167799,195,214,242,453,375,692
ENSG00000167800,23,18,23,47,51,21
ENSG00000167807,6,3,2,6,5,3
ENSG00000167815,2137,2050,2545,3126,2856,3528
ENSG00000167822,0,0,0,0,0,0
ENSG00000167825,0,0,0,0,0,0
ENSG00000167840,399,405,415,529,461,828
ENSG00000167842,434,543,503,636,684,722
ENSG00000167850,2,0,1,1,3,3
ENSG00000167851,0,1,1,0,0,0
ENSG00000167858,0,0,0,1,0,1
ENSG00000167861,1444,1253,1610,842,762,1095
ENSG00000167862,819,895,893,1278,1230,1578
ENSG00000167863,4332,4163,4805,6766,6067,7980
ENSG00000167874,439,305,329,263,222,399
ENSG00000167880,7,3,4,2,5,9
ENSG00000167881,6453,6341,5928,6713,6097,8856
ENSG00000167889,2245,2098,2017,2272,2060,4005
ENSG00000167895,536,441,318,261,263,494
ENSG00000167900,921,689,1789,8916,7767,11792
ENSG00000167904,717,837,689,533,499,650
ENSG00000167910,0,0,0,0,0,0
ENSG00000167914,20,13,16,5,1,35
ENSG00000167916,0,0,0,0,0,0
ENSG00000167920,159,203,179,220,186,222
ENSG00000167925,1234,1073,1179,1020,914,1781
ENSG00000167930,541,433,548,375,377,651
ENSG00000167941,2,3,2,1,3,4
ENSG00000167962,4363,3567,3566,6109,5449,12253
ENSG00000167964,41,43,50,108,83,63
ENSG00000167965,2547,2276,2390,3029,2724,4817
ENSG00000167967,1991,1904,1635,1858,1745,3595
ENSG00000167968,119,115,124,147,135,193
ENSG00000167969,1374,1323,1528,4027,3445,4401
ENSG00000167971,1132,816,1024,450,357,576
ENSG00000167972,955,930,733,1344,1233,2195
ENSG00000167977,1705,1619,1331,1474,1398,2357
ENSG00000167978,41582,41404,39337,54765,51154,71584
ENSG00000167981,12,6,6,0,3,4
ENSG00000167984,18,14,10,11,15,22
ENSG00000167985,378,408,363,429,373,442
ENSG00000167986,9955,10415,9397,9595,8598,12733
ENSG00000167987,1923,1801,1563,2156,1920,3453
ENSG00000167992,354,358,291,120,114,265
ENSG00000167994,1457,1287,1511,1920,1726,3475
ENSG00000167995,7,11,11,38,48,46
ENSG00000167996,13216,12975,15021,12140,11302,18014
ENSG00000168000,111,99,89,73,94,145
ENSG00000168002,1150,1095,1244,1484,1434,1783
ENSG00000168003,4254,4287,4876,14867,13661,22390
ENSG00000168004,0,0,0,0,0,0
ENSG00000168005,3777,3247,3920,4557,4118,6376
ENSG00000168010,2355,2476,1864,1594,1576,2074
ENSG00000168014,1415,1505,1368,1665,1531,1995
ENSG00000168016,720,879,858,468,428,347
ENSG00000168026,895,900,745,278,348,446
ENSG00000168028,66261,69590,67257,83569,76712,105003
ENSG00000168032,4,6,6,6,5,6
ENSG00000168036,9162,10198,9500,10741,10122,11424
ENSG00000168038,276,307,321,290,220,332
ENSG00000168040,350,313,334,369,305,676
ENSG00000168056,5740,4793,6414,7511,6555,6191
ENSG00000168060,2,3,3,5,7,13
ENSG00000168061,743,678,736,822,725,1129
ENSG00000168062,122,135,101,71,57,315
ENSG00000168065,0,2,1,3,3,3
ENSG00000168066,7659,6939,7643,13502,12545,21735
ENSG00000168067,2428,2424,2245,1825,1640,2230
ENSG00000168070,3,4,4,10,9,7
ENSG00000168071,307,382,281,252,188,247
ENSG00000168077,891,828,1359,1881,1534,1623
ENSG00000168078,283,242,641,2903,2529,2431
ENSG00000168079,0,2,2,0,0,1
ENSG00000168081,0,0,0,0,1,1
ENSG00000168090,1876,1891,1984,1911,1763,2747
ENSG00000168092,1115,1198,1193,2468,2232,2811
ENSG00000168096,1127,1095,1061,1207,1146,2086
ENSG00000168101,992,1058,1050,658,544,829
ENSG00000168116,319,286,262,585,660,654
ENSG00000168118,630,720,699,757,739,823
ENSG00000168124,15,3,7,16,8,18
ENSG00000168131,0,0,0,0,0,0
ENSG00000168135,326,263,276,54,52,138
ENSG00000168137,7075,7634,6514,6031,5837,6785
ENSG00000168140,205,194,331,121,93,90
ENSG00000168143,16,18,14,56,67,69
ENSG00000168148,4,7,13,0,1,1
ENSG00000168152,88,117,109,130,131,107
ENSG00000168158,0,0,0,1,0,0
ENSG00000168159,2946,2636,3186,5223,5041,6974
ENSG00000168172,1058,1136,1057,975,836,1056
ENSG00000168175,4095,4412,4057,4765,4469,5868
ENSG00000168209,1095,1014,1479,6370,5742,5754
ENSG00000168214,2707,2924,2554,1774,1779,2324
ENSG00000168216,694,784,800,679,554,818
ENSG00000168228,234,240,225,294,278,356
ENSG00000168229,0,2,0,0,0,0
ENSG00000168234,192,165,235,290,243,395
ENSG00000168237,449,372,398,746,759,1343
ENSG00000168243,225,195,174,131,133,255
ENSG00000168246,938,972,1097,1780,1648,1682
ENSG00000168255,1066,1192,1008,750,726,878
ENSG00000168256,1834,1768,1480,1896,1691,2420
ENSG00000168259,2102,2301,2008,2645,2527,3328
ENSG00000168263,33,40,31,38,48,85
ENSG00000168264,3909,3934,3982,3229,2935,4275
ENSG00000168267,114,112,110,285,236,418
ENSG00000168268,8290,7309,7996,9265,7663,11142
ENSG00000168269,0,0,0,0,0,0
ENSG00000168273,600,493,496,822,770,947
ENSG00000168275,813,836,805,1215,1170,1195
ENSG00000168280,1090,1188,1090,365,311,262
ENSG00000168282,147,116,156,164,172,413
ENSG00000168283,1386,1472,1868,3362,3046,3496
ENSG00000168286,1273,1229,1258,1612,1280,2080
ENSG00000168288,2595,2895,2616,2701,2607,3339
ENSG00000168291,2283,2509,2387,1559,1428,1846
ENSG00000168297,486,495,502,851,773,718
ENSG00000168298,24,39,30,46,32,26
ENSG00000168300,1197,1355,1337,1144,1132,1086
ENSG00000168301,225,286,260,330,339,306
ENSG00000168303,661,644,693,888,822,1070
ENSG00000168306,0,1,4,2,7,8
ENSG00000168309,3,1,3,0,1,3
ENSG00000168310,433,436,417,612,464,597
ENSG00000168314,0,2,0,9,4,9
ENSG00000168329,7,11,3,0,3,6
ENSG00000168333,1,0,0,0,0,0
ENSG00000168334,497,673,414,6,2,41
ENSG00000168348,3,0,0,1,2,2
ENSG00000168350,6,9,10,14,4,9
ENSG00000168356,11,24,20,5,9,6
ENSG00000168374,3582,3785,3257,2430,2191,2768
ENSG00000168385,5271,5787,5435,5270,4961,6164
ENSG00000168386,14,12,14,14,6,28
ENSG00000168389,624,555,658,877,824,1028
ENSG00000168393,551,556,671,1836,1701,2142
ENSG00000168394,2718,2756,2681,1901,1603,1171
ENSG00000168395,919,907,927,1226,1142,1690
ENSG00000168397,2903,2955,2618,1975,1915,2791
ENSG00000168398,4,6,12,6,1,6
ENSG00000168404,63,68,66,209,199,328
ENSG00000168411,1394,1421,1661,4019,3821,4651
ENSG00000168412,0,0,0,0,1,0
ENSG00000168418,0,0,0,0,0,0
ENSG00000168421,2,5,3,1,0,6
ENSG00000168427,123,156,131,16,17,22
ENSG00000168434,308,392,304,448,401,560
ENSG00000168438,411,415,431,636,619,652
ENSG00000168439,8819,8752,8681,14190,13051,17724
ENSG00000168447,2,4,0,7,7,4
ENSG00000168453,1581,1380,1878,1564,1302,804
ENSG00000168454,38,45,31,30,31,14
ENSG00000168461,2929,3099,3275,5180,4802,6960
ENSG00000168476,743,703,951,2232,2030,3054
ENSG00000168477,891,860,1089,267,232,507
ENSG00000168481,7,4,15,11,11,13
ENSG00000168484,0,1,0,3,1,0
ENSG00000168487,1810,1772,2057,1839,1469,1963
ENSG00000168488,9051,8252,8489,12068,11104,16991
ENSG00000168490,67,71,70,103,92,199
ENSG00000168491,8,19,13,34,40,50
ENSG00000168495,1669,1677,1439,1808,1685,2657
ENSG00000168496,908,932,1613,5266,5009,7476
ENSG00000168497,282,221,425,205,179,165
ENSG00000168502,2503,2108,2510,2816,2375,4720
ENSG00000168505,0,3,0,0,0,0
ENSG00000168509,2,0,2,0,1,2
ENSG00000168515,0,0,0,0,0,0
ENSG00000168517,90,70,63,88,90,133
ENSG00000168522,982,1065,820,1045,983,1266
ENSG00000168528,775,661,732,1121,1127,2267
ENSG00000168530,92,65,150,4,5,0
ENSG00000168538,651,610,659,894,823,1134
ENSG00000168539,16,10,17,15,9,26
ENSG00000168542,389,541,1126,249,244,95
ENSG00000168546,0,2,1,1,5,2
ENSG00000168556,312,357,392,320,279,443
ENSG00000168564,310,284,331,535,520,743
ENSG00000168566,331,372,399,697,662,753
ENSG00000168569,470,524,481,466,439,632
ENSG00000168575,1480,1412,1503,1696,1600,3634
ENSG00000168582,0,0,0,0,0,0
ENSG00000168589,3,10,9,4,4,1
ENSG00000168591,2420,2256,2153,1812,1630,2576
ENSG00000168594,0,0,0,1,0,1
ENSG00000168610,10551,10787,8497,6912,6480,8347
ENSG00000168612,299,332,310,364,342,462
ENSG00000168615,8242,9049,8083,3890,3616,6307
ENSG00000168619,12,14,15,2,1,5
ENSG00000168621,12,9,10,4,5,3
ENSG00000168631,0,1,2,0,0,1
ENSG00000168634,39,54,28,9,5,28
ENSG00000168646,486,514,585,526,343,376
ENSG00000168653,5544,4720,5451,6847,6275,8407
ENSG00000168658,0,0,2,5,1,1
ENSG00000168661,68,56,90,105,112,154
ENSG00000168671,0,0,0,0,1,0
ENSG00000168672,2073,2319,2477,4041,3804,4570
ENSG00000168675,292,315,446,455,396,137
ENSG00000168676,45,44,43,66,54,61
ENSG00000168679,112,100,120,185,168,175
ENSG00000168685,1763,2039,1261,998,1034,880
ENSG00000168701,927,923,906,901,852,1467
ENSG00000168702,13,13,19,20,22,20
ENSG00000168703,2,4,2,1,1,0
ENSG00000168710,5565,6309,5436,7313,6776,8255
ENSG00000168724,3266,3446,3157,3244,3038,3634
ENSG00000168734,1486,1468,1388,972,879,1534
ENSG00000168743,4,2,4,2,2,2
ENSG00000168748,4,8,2,1,1,4
ENSG00000168754,52,30,58,14,13,33
ENSG00000168757,0,0,0,0,0,0
ENSG00000168758,4028,3911,3552,4168,3717,6121
ENSG00000168763,1548,1569,1609,1622,1499,2281
ENSG00000168765,491,475,644,675,635,750
ENSG00000168769,945,1130,977,1241,1206,1003
ENSG00000168772,258,236,274,263,223,36
ENSG00000168778,573,522,635,277,261,417
ENSG00000168779,330,330,372,226,208,191
ENSG00000168781,414,404,441,873,855,1047
ENSG00000168785,2223,2357,2018,1601,1402,3686
ENSG00000168792,427,450,475,355,334,570
ENSG00000168795,2174,2514,1798,2759,2535,2406
ENSG00000168802,1820,1861,1881,2524,2195,2920
ENSG00000168803,171,209,251,264,257,287
ENSG00000168806,225,264,220,329,295,489
ENSG00000168807,536,595,624,879,795,1052
ENSG00000168811,27,35,25,73,77,99
ENSG00000168813,1410,1484,1301,1772,1784,2142
ENSG00000168818,771,729,718,1005,859,1454
ENSG00000168824,130,135,211,328,273,432
ENSG00000168826,189,202,200,173,178,294
ENSG00000168827,1504,1693,1451,1908,1784,2193
ENSG00000168828,0,0,0,0,0,0
ENSG00000168830,0,0,0,0,3,0
ENSG00000168843,1,0,1,2,6,0
ENSG00000168872,2264,2492,2146,2912,2783,3946
ENSG00000168874,33,36,70,142,115,92
ENSG00000168875,14,9,19,3,2,0
ENSG00000168876,545,627,583,571,520,499
ENSG00000168878,5,4,2,6,1,9
ENSG00000168883,1929,1936,2036,3293,2951,4220
ENSG00000168884,1828,1836,1609,1841,1659,2568
ENSG00000168887,1525,1563,1628,2117,1906,2214
ENSG00000168890,612,577,594,711,638,1036
ENSG00000168894,1331,1357,1276,1467,1396,1680
ENSG00000168899,61,84,75,42,53,48
ENSG00000168903,26,35,27,7,9,14
ENSG00000168904,296,387,318,261,269,261
ENSG00000168906,4882,5167,5022,16534,16280,18893
ENSG00000168907,0,0,0,0,0,0
ENSG00000168913,22,12,16,56,59,63
ENSG00000168916,3235,3059,3539,3847,3295,1533
ENSG00000168917,94,170,100,184,177,300
ENSG00000168918,2306,2309,2172,195,208,158
ENSG00000168924,2411,2593,2129,2675,2812,4334
ENSG00000168925,0,1,0,0,0,0
ENSG00000168928,2,3,0,2,0,1
ENSG00000168930,0,0,0,0,0,0
ENSG00000168936,1649,1596,1605,1864,1637,2257
ENSG00000168938,861,855,1119,1239,1101,1074
ENSG00000168939,163,206,190,162,163,171
ENSG00000168944,795,958,938,1535,1336,1654
ENSG00000168952,182,192,195,206,202,242
ENSG00000168955,2,4,0,4,3,5
ENSG00000168958,1427,1584,1526,1778,1793,2048
ENSG00000168959,1,0,2,11,7,10
ENSG00000168961,112,101,87,28,30,33
ENSG00000168970,175,183,207,175,203,245
ENSG00000168993,412,279,438,1579,1474,3060
ENSG00000168994,661,707,650,724,672,1009
ENSG00000168995,0,1,0,0,0,1
ENSG00000169006,0,0,0,0,3,2
ENSG00000169016,1627,1818,1483,1606,1549,2014
ENSG00000169018,2068,2426,2178,2769,2538,2990
ENSG00000169019,425,421,457,1485,1462,1465
ENSG00000169020,367,313,392,462,388,589
ENSG00000169021,3385,3596,3165,4655,4196,5207
ENSG00000169026,17,13,22,32,14,73
ENSG00000169031,20,23,18,17,23,36
ENSG00000169032,2834,2954,2667,2761,2523,4303
ENSG00000169035,26,30,34,21,10,14
ENSG00000169045,14907,15791,15170,18195,16953,22236
ENSG00000169047,2321,1946,2786,4777,3949,5624
ENSG00000169057,3272,3442,3037,4687,4230,5821
ENSG00000169059,1,0,0,1,0,0
ENSG00000169062,3773,3856,3795,4400,4277,5327
ENSG00000169064,13,6,23,11,7,3
ENSG00000169067,23,45,19,101,85,16
ENSG00000169071,348,327,405,372,352,591
ENSG00000169083,292,283,386,298,295,168
ENSG00000169084,174,145,168,88,107,129
ENSG00000169085,222,317,221,78,66,18
ENSG00000169087,620,635,516,774,791,1033
ENSG00000169093,634,613,613,598,516,689
ENSG00000169100,9624,9187,10118,10814,9564,15928
ENSG00000169105,690,647,807,331,323,515
ENSG00000169116,116,104,160,408,390,513
ENSG00000169118,1987,2111,1655,1281,1213,1455
ENSG00000169122,290,245,307,233,231,285
ENSG00000169126,27,28,55,146,116,151
ENSG00000169129,109,110,151,63,48,47
ENSG00000169131,778,858,666,728,639,865
ENSG00000169136,304,281,372,1006,903,1627
ENSG00000169139,1195,1185,1193,1718,1667,1946
ENSG00000169154,0,0,0,0,0,0
ENSG00000169155,1022,1102,764,1263,1232,1783
ENSG00000169169,6,4,10,26,31,52
ENSG00000169174,0,2,1,0,0,2
ENSG00000169180,3434,3380,3104,4973,4605,7726
ENSG00000169181,5,3,5,17,12,19
ENSG00000169184,634,596,738,641,557,265
ENSG00000169188,1381,1328,1456,2136,2049,3736
ENSG00000169189,343,337,286,592,478,694
ENSG00000169193,321,345,333,174,163,168
ENSG00000169194,0,2,0,0,1,0
ENSG00000169203,118,129,117,101,114,204
ENSG00000169208,0,0,0,0,0,0
ENSG00000169213,4723,5421,4361,3716,3514,4152
ENSG00000169214,3,2,3,2,1,3
ENSG00000169217,3113,3202,3045,3861,3493,5848
ENSG00000169218,5,4,8,15,11,16
ENSG00000169220,346,328,271,249,189,369
ENSG00000169221,2731,2718,2511,2492,2175,3716
ENSG00000169223,4989,4713,5134,4782,4044,6185
ENSG00000169224,2,0,0,0,1,0
ENSG00000169228,159,206,186,281,253,423
ENSG00000169230,3608,3237,3165,5667,4807,10361
ENSG00000169231,454,519,535,385,386,542
ENSG00000169239,45,53,71,92,98,117
ENSG00000169241,800,850,815,720,724,1083
ENSG00000169242,638,659,468,429,424,677
ENSG00000169245,26,20,54,2,3,0
ENSG00000169246,501,474,369,658,393,482
ENSG00000169247,263,317,211,253,182,225
ENSG00000169248,16,20,24,6,12,1
ENSG00000169249,261,245,223,210,210,304
ENSG00000169251,1649,1947,1450,1658,1603,1983
ENSG00000169252,51,80,54,132,112,160
ENSG00000169255,268,286,287,421,381,514
ENSG00000169258,1241,1412,1255,2570,2131,3925
ENSG00000169271,78,70,59,11,3,5
ENSG00000169282,67,67,56,45,46,53
ENSG00000169288,365,427,467,933,878,1016
ENSG00000169291,364,373,319,205,159,135
ENSG00000169297,62,51,52,238,203,414
ENSG00000169299,1170,1329,1184,1947,1875,2449
ENSG00000169302,145,144,183,155,148,136
ENSG00000169306,40,66,30,27,15,21
ENSG00000169313,2,1,0,4,0,1
ENSG00000169314,4,1,1,4,1,0
ENSG00000169327,0,0,0,0,0,0
ENSG00000169330,91,120,67,52,55,60
ENSG00000169340,1,1,1,0,0,0
ENSG00000169344,0,2,0,0,0,3
ENSG00000169347,1,0,0,1,1,0
ENSG00000169359,749,754,748,894,834,910
ENSG00000169371,342,343,392,536,436,575
ENSG00000169372,81,77,120,234,211,241
ENSG00000169375,4776,4976,4594,4450,4158,5037
ENSG00000169379,809,966,861,611,519,832
ENSG00000169385,7,9,6,4,9,8
ENSG00000169393,0,1,0,3,3,0
ENSG00000169397,26,16,14,7,9,15
ENSG00000169398,8188,9345,7532,8779,8362,10348
ENSG00000169402,0,1,0,0,0,3
ENSG00000169403,18,31,29,25,15,48
ENSG00000169410,726,798,761,239,239,441
ENSG00000169413,0,0,0,0,0,0
ENSG00000169418,29,35,45,192,146,169
ENSG00000169427,22,14,15,11,19,10
ENSG00000169429,856,1080,477,142,136,76
ENSG00000169432,48,47,66,81,103,126
ENSG00000169435,157,189,217,152,147,95
ENSG00000169436,1491,1422,1626,2693,2481,2931
ENSG00000169439,811,859,1260,643,583,377
ENSG00000169442,1,1,0,0,1,3
ENSG00000169446,501,625,543,654,660,812
ENSG00000169469,0,0,0,0,0,1
ENSG00000169474,0,0,4,0,0,9
ENSG00000169484,0,0,0,0,0,0
ENSG00000169488,0,0,0,0,0,0
ENSG00000169490,831,818,845,676,611,875
ENSG00000169495,0,0,0,1,1,0
ENSG00000169499,245,250,262,264,260,204
ENSG00000169504,5205,5684,5995,3228,3171,3965
ENSG00000169507,3,0,2,0,0,0
ENSG00000169508,1,3,3,0,2,2
ENSG00000169509,0,0,0,0,3,3
ENSG00000169515,118,109,115,253,228,337
ENSG00000169519,747,800,791,635,568,661
ENSG00000169548,12,11,7,3,6,2
ENSG00000169550,309,358,399,262,247,211
ENSG00000169551,1,6,5,0,0,0
ENSG00000169554,683,654,579,188,142,217
ENSG00000169562,0,0,0,0,0,0
ENSG00000169564,5069,3849,5458,7805,6904,14933
ENSG00000169567,2255,2340,2646,5163,4689,5797
ENSG00000169570,147,179,205,216,197,181
ENSG00000169575,0,0,0,0,0,0
ENSG00000169583,11,10,24,14,6,13
ENSG00000169592,1065,970,1061,1357,1255,2438
ENSG00000169594,7,6,7,2,0,2
ENSG00000169598,125,129,128,87,81,157
ENSG00000169599,463,420,516,761,627,790
ENSG00000169604,5260,5396,5778,3239,2886,3061
ENSG00000169605,0,1,1,1,0,0
ENSG00000169607,265,205,449,2334,2303,2220
ENSG00000169609,2994,2567,2563,3222,3006,4390
ENSG00000169612,801,851,797,906,873,1090
ENSG00000169618,7,7,3,12,5,10
ENSG00000169621,215,222,223,64,87,118
ENSG00000169627,49,43,38,79,62,92
ENSG00000169629,271,361,230,335,269,315
ENSG00000169635,2127,2029,1600,1722,1513,2694
ENSG00000169641,2175,2469,1896,2202,1917,2366
ENSG00000169660,1659,1604,1704,968,852,1367
ENSG00000169676,12,5,7,7,5,9
ENSG00000169679,468,427,942,4153,3777,3843
ENSG00000169682,87,100,78,62,64,115
ENSG00000169683,804,798,992,1066,906,1287
ENSG00000169684,120,109,157,345,266,361
ENSG00000169688,0,0,0,0,0,0
ENSG00000169689,1945,1731,2084,3363,2980,4602
ENSG00000169692,1727,1726,1813,2109,1827,3153
ENSG00000169696,3654,3347,3297,3389,2985,5108
ENSG00000169704,0,0,0,0,0,0
ENSG00000169710,71376,69292,56878,45528,40547,85546
ENSG00000169714,4611,4858,4636,8977,8738,11878
ENSG00000169715,1074,949,1218,12845,11372,16297
ENSG00000169717,0,0,0,0,0,0
ENSG00000169718,4895,4577,4269,6919,6343,10806
ENSG00000169727,6712,6856,6549,5610,5060,7801
ENSG00000169733,2563,2558,2310,1845,1631,2383
ENSG00000169738,2690,2664,2760,3252,2853,5093
ENSG00000169740,302,365,356,613,648,743
ENSG00000169744,9,13,14,18,10,18
ENSG00000169750,89,69,125,149,133,203
ENSG00000169752,16,11,23,25,20,7
ENSG00000169756,5784,6797,5424,3571,3245,4595
ENSG00000169758,53,43,29,31,33,44
ENSG00000169760,22,18,36,95,94,95
ENSG00000169762,555,681,532,717,627,638
ENSG00000169764,3546,3941,4015,3607,3206,3083
ENSG00000169777,0,0,0,0,0,0
ENSG00000169783,147,127,146,701,542,1021
ENSG00000169789,0,0,0,0,0,0
ENSG00000169800,0,0,0,0,0,0
ENSG00000169807,0,0,0,0,0,0
ENSG00000169813,7716,7526,8047,15003,14003,22157
ENSG00000169814,257,269,268,236,170,208
ENSG00000169826,1591,1801,1523,1088,1032,1667
ENSG00000169836,1,0,0,0,0,0
ENSG00000169840,0,0,0,0,0,0
ENSG00000169851,1763,1748,1612,757,670,845
ENSG00000169855,2099,2195,2320,1514,1376,1412
ENSG00000169856,55,51,65,93,71,119
ENSG00000169857,581,672,524,652,586,803
ENSG00000169860,144,148,116,541,450,659
ENSG00000169862,245,202,313,229,228,195
ENSG00000169871,2709,2718,2524,2451,2250,3313
ENSG00000169876,0,0,0,0,0,0
ENSG00000169877,0,0,0,0,0,0
ENSG00000169884,122,113,102,482,474,729
ENSG00000169885,11,12,13,4,6,21
ENSG00000169891,374,460,296,253,221,254
ENSG00000169894,50,39,43,135,98,201
ENSG00000169895,1739,2018,1738,1549,1437,1935
ENSG00000169896,290,298,172,61,49,25
ENSG00000169900,1,0,1,0,0,1
ENSG00000169902,2300,2447,1935,761,671,982
ENSG00000169903,0,0,0,0,0,1
ENSG00000169905,1701,1912,1699,1960,1918,2401
ENSG00000169906,0,0,0,0,0,0
ENSG00000169908,1776,1709,1582,2421,2280,8065
ENSG00000169914,1340,1491,1238,2359,2254,2675
ENSG00000169918,416,390,430,359,405,496
ENSG00000169919,2419,2333,2827,3224,2760,4426
ENSG00000169925,1844,1702,1742,2081,1921,2344
ENSG00000169926,3262,3524,3888,3945,3600,6196
ENSG00000169933,74,92,58,26,14,31
ENSG00000169946,1118,1279,928,812,754,818
ENSG00000169951,190,163,164,329,248,438
ENSG00000169953,0,0,0,0,0,0
ENSG00000169955,93,120,106,115,96,135
ENSG00000169957,1242,1218,1197,1840,1638,2780
ENSG00000169962,13,33,12,12,9,14
ENSG00000169964,5,2,19,55,47,65
ENSG00000169967,4145,4804,3954,3214,2979,2756
ENSG00000169972,231,244,241,452,409,792
ENSG00000169976,2882,2551,2883,3945,3277,5927
ENSG00000169981,686,811,606,564,552,556
ENSG00000169989,20,37,15,25,20,21
ENSG00000169991,362,351,391,569,482,506
ENSG00000169992,9845,8590,9798,7090,6223,8468
ENSG00000169994,301,352,170,31,22,22
ENSG00000170004,12389,11860,12111,7302,6731,9236
ENSG00000170006,130,128,106,120,140,489
ENSG00000170011,32,39,30,115,107,137
ENSG00000170017,5048,6387,5327,1985,1933,2301
ENSG00000170027,8675,8996,7508,9098,8483,11411
ENSG00000170035,2024,2340,2680,3388,2990,4057
ENSG00000170037,1431,1439,1296,1937,1851,2859
ENSG00000170043,2261,1921,2001,1616,1515,2186
ENSG00000170044,2,3,1,4,3,0
ENSG00000170049,453,413,473,424,375,694
ENSG00000170054,11,5,2,0,1,0
ENSG00000170074,89,74,78,116,128,91
ENSG00000170075,10,10,6,5,1,4
ENSG00000170085,404,365,387,573,603,648
ENSG00000170088,782,733,792,953,945,1310
ENSG00000170091,4,5,9,2,0,3
ENSG00000170092,83,74,74,48,49,79
ENSG00000170099,5,4,4,0,0,0
ENSG00000170100,1028,1232,792,1149,1085,1414
ENSG00000170113,2265,2403,2255,2398,2126,2629
ENSG00000170122,100,105,118,94,102,185
ENSG00000170128,2,1,0,0,1,0
ENSG00000170142,2267,2344,2357,2242,2096,2216
ENSG00000170144,11897,12085,12808,20011,18338,28074
ENSG00000170145,2289,2444,2032,1836,1651,2387
ENSG00000170153,109,134,143,184,164,93
ENSG00000170160,56,53,38,36,49,55
ENSG00000170162,88,91,112,129,128,161
ENSG00000170166,9,9,1,7,7,6
ENSG00000170175,2110,1982,2012,1451,1446,3016
ENSG00000170178,4,12,15,20,14,26
ENSG00000170180,1,3,1,2,5,0
ENSG00000170185,1009,1208,916,688,626,840
ENSG00000170190,8,10,7,4,10,13
ENSG00000170191,975,960,912,1049,1025,1082
ENSG00000170209,43,35,42,19,16,87
ENSG00000170214,435,483,503,737,642,798
ENSG00000170222,111,117,144,159,128,178
ENSG00000170231,1,2,0,1,1,2
ENSG00000170234,534,627,530,885,830,962
ENSG00000170236,1,3,0,1,0,0
ENSG00000170242,2675,2992,2655,2919,2828,3380
ENSG00000170248,7540,8455,6781,5078,4820,6382
ENSG00000170255,0,0,0,0,0,0
ENSG00000170260,693,726,657,815,742,1024
ENSG00000170262,2,3,6,2,2,4
ENSG00000170264,506,533,680,868,904,872
ENSG00000170265,1304,1251,1238,2403,2151,3697
ENSG00000170266,2509,2600,2767,2055,1960,2328
